Age Group,Annual Income,Education,Occupation,Leisure Travel Frequency,Business Travel Frequency,Preferred Hotel Type,Advance Booking Days,Stay Length (Nights),ADR Budget,Booking Priority,Use Price Comparison,Trust AI,Price Prediction Importance,Desired Features,Platforms Used,Booking Challenges,Booking Device,Subscription Willingness,Use Bundle Feature,Pay More for Sustainability,Refer Platform,Booking Motivation 1,Booking Motivation 2,Delayed Booking for Drop,Additional Features
25–34,102365,Master’s Degree,Working Professional,2–3 times a year,Weekly,City Hotel,8–14 days,6–10,4000–7000,Balanced,Sometimes,No,Extremely Important,"Targeted discount alerts, Real-time price predictions",OYO,Limited deals,Travel Agent,₹299+,Probably,Only if price difference is small,Not Likely,Location,Reviews,No,Late check-out
55+,1031570,Master’s Degree,Retired,Every quarter,1–2 times a quarter,City Hotel,Same day,2,2000–4000,Best amenities,Always,Yes,Neutral,"Hotel comparison engine, Real-time price predictions, Personalized stay duration suggestions, Customer reviews","OYO, Goibibo, Agoda, Others",Poor UI/UX,Mobile App,₹0,Probably Not,"Yes, definitely",Not Likely,Reviews,Price,Yes,
35–44,821396,Bachelor’s Degree,Retired,2–3 times a year,Monthly,Resort Hotel,8–14 days,3–5,<2000,Lowest price,Never,No,Not Important,"Personalized stay duration suggestions, Customer reviews","Others, Booking.com",Booking too late,Desktop Website,₹199,Never,Only if price difference is small,Maybe,Amenities,Location,No,
35–44,589276,Master’s Degree,Business Owner,Every quarter,Never,City Hotel,Same day,6–10,4000–7000,Best amenities,Sometimes,Yes,Extremely Important,"Personalized stay duration suggestions, Targeted discount alerts, Real-time price predictions",Booking.com,"Poor UI/UX, Hidden charges",Desktop Website,₹99,Never,No,Absolutely,Brand name,Reviews,Yes,
18–24,143619,Master’s Degree,Freelancer,Monthly or more,Weekly,Resort Hotel,4–7 days,3–5,4000–7000,Balanced,Rarely,Yes,Somewhat Important,"Personalized stay duration suggestions, Hotel comparison engine, Customer reviews, Targeted discount alerts","Others, Booking.com","Booking too late, Prices fluctuate too much",Desktop Website,₹199,Definitely,Only if price difference is small,Not Likely,Brand name,Reviews,Yes,
18–24,125006,Master’s Degree,Retired,Monthly or more,Monthly,City Hotel,Same day,3–5,>10000,Balanced,Never,Maybe,Extremely Important,"Hotel comparison engine, Customer reviews, Real-time price predictions","MakeMyTrip, OYO, Airbnb","Lack of transparent pricing, Booking too late",Mobile App,₹99,Probably,"Yes, definitely",Not Likely,Amenities,Amenities,Yes,Loyalty rewards
18–24,1441731,PhD or Higher,Freelancer,Rarely,Weekly,No Preference,15+ days,3–5,4000–7000,Lowest price,Sometimes,Yes,Not Important,Targeted discount alerts,"Agoda, Booking.com",Hidden charges,Mobile App,Depends on the savings,Never,Only if price difference is small,Absolutely,Reviews,Price,No,
45–54,611365,High School,Student,Every quarter,1–2 times a quarter,No Preference,8–14 days,2,2000–4000,Balanced,Always,Yes,Somewhat Important,"Real-time price predictions, Hotel comparison engine, Personalized stay duration suggestions","MakeMyTrip, Others","Poor UI/UX, Hidden charges, Limited deals",Mobile App,₹0,Probably Not,"Yes, definitely",Maybe,Price,Reviews,Yes,Late check-out
35–44,99576,Master’s Degree,Other,Every quarter,Never,No Preference,15+ days,2,4000–7000,Best amenities,Rarely,Maybe,Extremely Important,"Customer reviews, Hotel comparison engine, Personalized stay duration suggestions","Agoda, Booking.com, MakeMyTrip, OYO",Prices fluctuate too much,Desktop Website,Depends on the savings,Probably Not,"Yes, definitely",Maybe,Amenities,Price,No,Loyalty rewards
35–44,1235432,High School,Freelancer,Once a year,Monthly,No Preference,4–7 days,More than 10,7000–10000,Best amenities,Never,Maybe,Not Important,"Targeted discount alerts, Personalized stay duration suggestions, Real-time price predictions, Customer reviews",OYO,Booking too late,Mobile App,₹99,Unsure,"Yes, definitely",Absolutely,Brand name,Amenities,Yes,Loyalty rewards
18–24,597705,Bachelor’s Degree,Working Professional,Once a year,Never,No Preference,8–14 days,6–10,7000–10000,Best amenities,Sometimes,Maybe,Not Important,"Hotel comparison engine, Customer reviews, Real-time price predictions","Others, Agoda, Booking.com","Lack of transparent pricing, Limited deals, Booking too late",Travel Agent,₹0,Probably Not,No,Not Likely,Price,Location,Yes,AI chatbot
55+,1291124,Bachelor’s Degree,Other,Once a year,1–2 times a quarter,Resort Hotel,4–7 days,3–5,2000–4000,Best amenities,Never,Yes,Extremely Important,"Real-time price predictions, Customer reviews","MakeMyTrip, Goibibo, OYO","Limited deals, Poor UI/UX, Hidden charges",Mobile App,₹0,Never,No,Maybe,Reviews,Reviews,No,AI chatbot
45–54,1443586,Bachelor’s Degree,Working Professional,2–3 times a year,Never,No Preference,15+ days,3–5,2000–4000,Lowest price,Sometimes,Maybe,Not Important,"Customer reviews, Real-time price predictions","Booking.com, Agoda","Prices fluctuate too much, Hidden charges",Mobile App,Depends on the savings,Never,Only if price difference is small,Maybe,Brand name,Reviews,No,Loyalty rewards
25–34,990405,Bachelor’s Degree,Retired,Once a year,Never,No Preference,4–7 days,1,2000–4000,Best amenities,Always,Yes,Neutral,Hotel comparison engine,MakeMyTrip,"Prices fluctuate too much, Booking too late",Travel Agent,₹0,Probably Not,Only if price difference is small,Not Likely,Reviews,Reviews,No,Early check-in
25–34,192170,Master’s Degree,Other,Every quarter,Occasionally,No Preference,8–14 days,1,4000–7000,Lowest price,Rarely,Yes,Somewhat Important,"Hotel comparison engine, Real-time price predictions, Personalized stay duration suggestions, Targeted discount alerts","MakeMyTrip, Agoda","Prices fluctuate too much, Booking too late",Mobile App,₹99,Definitely,"Yes, definitely",Not Likely,Amenities,Price,No,AI chatbot
25–34,18854,Bachelor’s Degree,Freelancer,2–3 times a year,Never,No Preference,8–14 days,3–5,4000–7000,Best amenities,Always,Maybe,Neutral,"Personalized stay duration suggestions, Real-time price predictions","MakeMyTrip, Booking.com, Agoda","Booking too late, Limited deals, Prices fluctuate too much",Mobile App,₹99,Probably,No,Not Likely,Reviews,Reviews,No,Early check-in
25–34,130688,Master’s Degree,Other,Monthly or more,Weekly,City Hotel,4–7 days,6–10,4000–7000,Lowest price,Rarely,No,Extremely Important,"Targeted discount alerts, Personalized stay duration suggestions","OYO, Agoda, Goibibo, Others","Poor UI/UX, Hidden charges",Mobile App,Depends on the savings,Never,Only if price difference is small,Not Likely,Brand name,Price,No,
35–44,40037,Bachelor’s Degree,Retired,Rarely,Monthly,No Preference,8–14 days,3–5,<2000,Best amenities,Rarely,Yes,Neutral,"Customer reviews, Targeted discount alerts",MakeMyTrip,"Prices fluctuate too much, Limited deals, Hidden charges",Mobile App,₹199,Probably Not,Only if price difference is small,Absolutely,Amenities,Brand name,Yes,
